consumer,consumer_owner,claimed_qualification,effective_qualification,gate_decision,facet,dimension,state_family,current_state,facet_owner,proof_ref,proof_freshness,facet_status,artifact_classes,channel_scope,profiles,stale_data_behavior,gap_kind
release_center,release_center_owner,stable,stable,governed,update_availability,change_disclosure,update,up_to_date,release_update_center_owner,artifacts/release-proof/m5-update-lifecycle/update-availability.json,current,mapped,core_runtime extension_packs,stable beta preview nightly lts,managed self_hosted,mirrored_labelled,
release_center,release_center_owner,stable,stable,governed,change_impact,change_disclosure,readiness,restart_required,release_update_center_owner,artifacts/release-proof/m5-update-lifecycle/change-impact.json,current,mapped,core_runtime extension_packs schema_contracts workspace_state configuration language_runtimes,stable beta preview nightly,managed self_hosted,stale_banner_shown,
release_center,release_center_owner,stable,stable,governed,release_note_evidence,change_disclosure,readiness,ready_no_restart,release_notes_owner,artifacts/release-proof/m5-update-lifecycle/release-note-evidence.json,current,mapped,core_runtime extension_packs docs_help_content,stable beta preview,managed self_hosted,offline_cached,
release_center,release_center_owner,stable,stable,governed,migration_assistant,migration_continuity,migration,automatic_migration,migration_continuity_owner,artifacts/release-proof/m5-update-lifecycle/migration-assistant.json,current,mapped,workspace_state configuration schema_contracts,stable beta lts,managed self_hosted,local_only_no_live_data,
release_center,release_center_owner,stable,stable,governed,service_health,migration_continuity,readiness,ready_no_restart,migration_continuity_owner,artifacts/release-proof/m5-update-lifecycle/service-health.json,current,mapped,core_runtime language_runtimes,stable beta preview nightly lts,managed self_hosted,local_only_no_live_data,
release_center,release_center_owner,stable,stable,governed,support_window,support_lifecycle,support_window,full_support,support_lifecycle_owner,artifacts/release-proof/m5-update-lifecycle/support-window.json,current,mapped,core_runtime,stable lts,managed self_hosted,mirrored_labelled,
release_center,release_center_owner,stable,stable,governed,compatibility_window,support_lifecycle,support_window,full_support,support_lifecycle_owner,artifacts/release-proof/m5-update-lifecycle/compatibility-window.json,current,mapped,schema_contracts extension_packs,stable beta lts,managed self_hosted,offline_cached,
release_center,release_center_owner,stable,stable,governed,end_of_support,support_lifecycle,end_of_support,supported,support_lifecycle_owner,artifacts/release-proof/m5-update-lifecycle/end-of-support.json,current,mapped,core_runtime docs_help_content,stable lts,managed self_hosted,mirrored_labelled,
update_center,update_center_owner,stable,stable,governed,update_availability,change_disclosure,update,up_to_date,release_update_center_owner,artifacts/release-proof/m5-update-lifecycle/update-availability.json,current,mapped,core_runtime extension_packs,stable beta preview nightly lts,managed self_hosted,mirrored_labelled,
update_center,update_center_owner,stable,stable,governed,change_impact,change_disclosure,readiness,restart_required,release_update_center_owner,artifacts/release-proof/m5-update-lifecycle/change-impact.json,current,mapped,core_runtime extension_packs schema_contracts workspace_state configuration language_runtimes,stable beta preview nightly,managed self_hosted,stale_banner_shown,
update_center,update_center_owner,stable,stable,governed,release_note_evidence,change_disclosure,readiness,ready_no_restart,release_notes_owner,artifacts/release-proof/m5-update-lifecycle/release-note-evidence.json,current,mapped,core_runtime extension_packs docs_help_content,stable beta preview,managed self_hosted,offline_cached,
update_center,update_center_owner,stable,stable,governed,migration_assistant,migration_continuity,migration,automatic_migration,migration_continuity_owner,artifacts/release-proof/m5-update-lifecycle/migration-assistant.json,current,mapped,workspace_state configuration schema_contracts,stable beta lts,managed self_hosted,local_only_no_live_data,
