domain,subject,label,source_packet,gate,effective_qualification,status,owner_role,evidence_freshness,evidence_refs,source_ref
assurance_claim,local_first_continuity,Local-first continuity,assurance_claim_reducer,governed,stable,mapped,assurance_center_owner,current,artifacts/release-proof/m5-assurance-route-governance/control-proof.json;artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,artifacts/public-truth/m5-assurance-claim-reducer.json
assurance_claim,telemetry_control,Telemetry control,assurance_claim_reducer,governed,stable,mapped,telemetry_governance_owner,current,artifacts/release-proof/m5-assurance-route-governance/control-proof.json;artifacts/release-proof/m5-assurance-route-governance/route-hop.json;artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,artifacts/public-truth/m5-assurance-claim-reducer.json
assurance_claim,key_ownership,Customer key ownership,assurance_claim_reducer,governed,stable,mapped,key_custody_owner,current,artifacts/release-proof/m5-assurance-route-governance/control-proof.json;artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-assurance-claim-reducer.json
assurance_claim,data_residency,Data residency,assurance_claim_reducer,governed,stable,mapped,data_residency_owner,current,artifacts/release-proof/m5-assurance-route-governance/control-proof.json;artifacts/release-proof/m5-assurance-route-governance/route-hop.json;artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-assurance-claim-reducer.json
assurance_claim,regulated_operation,Regulated operation,assurance_claim_reducer,governed,stable,mapped,regulated_assurance_owner,current,artifacts/release-proof/m5-assurance-route-governance/control-proof.json;artifacts/release-proof/m5-assurance-route-governance/route-hop.json;artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json;artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,artifacts/public-truth/m5-assurance-claim-reducer.json
assurance_claim,air_gap_containment,Air-gap containment,assurance_claim_reducer,governed,stable,mapped,air_gap_assurance_owner,current,artifacts/release-proof/m5-assurance-route-governance/control-proof.json;artifacts/release-proof/m5-assurance-route-governance/route-hop.json;artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,artifacts/public-truth/m5-assurance-claim-reducer.json
assurance_claim,sovereign_deployment,Sovereign deployment,assurance_claim_reducer,governed,stable,mapped,sovereign_assurance_owner,current,artifacts/release-proof/m5-assurance-route-governance/control-proof.json;artifacts/release-proof/m5-assurance-route-governance/route-hop.json;artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json;artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,artifacts/public-truth/m5-assurance-claim-reducer.json
control_proof,local_edit_continuity,Local edit continuity,assurance_center,governed,stable,mapped,assurance_center_owner,current,artifacts/release-proof/m5-assurance-route-governance/capability-boundary.json,artifacts/public-truth/m5-assurance-center.json
control_proof,telemetry_egress_gate,Telemetry egress gate,assurance_center,governed,stable,mapped,telemetry_governance_owner,current,artifacts/release-proof/m5-assurance-route-governance/governance-freshness.json,artifacts/public-truth/m5-assurance-center.json
control_proof,customer_managed_key_custody,Customer-managed key custody,assurance_center,governed,stable,mapped,key_custody_owner,current,artifacts/release-proof/m5-assurance-route-governance/control-proof.json,artifacts/public-truth/m5-assurance-center.json
