family_id,title,owning_package,category,contract_form,maturity_lane,reader_writer_posture,packaging_need,claim_label,published_label,row_state,release_blocking,json_schema,wit_world,openapi_spec,markdown_summary,example_payloads,migration_notes,validator_suite,active_gap_reasons,release_packet_ref,compatibility_surface_ref,qualification_row_ref
command_descriptors,Command descriptors and invocation sessions,aureline-shell,command_and_automation,json_schema_backed_contract_doc,beta,read_write,local_only,stable,stable,published,yes,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,required/published,required/published,,manifest_entry:provider_aware_language_intelligence,artifacts/governance/compatibility_surfaces.yaml#command_plane.command_graph_and_ui_slot_schema,compat_row:command_plane.command_descriptor_schema
cli_headless_structured_output,CLI/headless structured output contract,aureline-shell,command_and_automation,cli_structured_output,beta,reader_only,local_only,stable,stable,published,yes,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,required/published,required/published,,manifest_entry:provider_aware_language_intelligence,artifacts/governance/compatibility_surfaces.yaml#automation.cli_structured_output_contract,compat_row:automation.cli_headless_contract
task_event_envelope,Task/test/debug event envelopes and replay bundles,aureline-tooling,terminal_and_run,event_envelope_schema,experimental,bidirectional_interchange,mirrored,stable,beta,narrowed,yes,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,required/missing,required/published,migration_notes_unpublished,manifest_entry:repair_and_rollback_safety,artifacts/governance/compatibility_surfaces.yaml#tooling.task_event_envelope,compat_row:tooling.task_event_envelope
execution_context_provenance,Execution-context and provenance records,aureline-runtime,terminal_and_run,json_schema_backed_contract_doc,beta,reader_only,local_only,stable,stable,published,yes,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,required/published,required/published,,manifest_entry:repair_and_rollback_safety,artifacts/governance/compatibility_surfaces.yaml#runtime.execution_context_and_provenance,compat_row:tooling.task_event_envelope
diagnostic_records,Diagnostic records and evidence chains,aureline-diagnostics,debug_and_diagnostics,json_schema_backed_contract_doc,internal,reader_only,local_only,beta,beta,published,no,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,optional/not_applicable,required/published,,manifest_entry:repair_and_rollback_safety,artifacts/governance/compatibility_surfaces.yaml#diagnostics.suppression_summary_and_severity,
project_doctor_findings,Project Doctor findings and probe/explanation packets,aureline-support,support_and_export,json_schema_backed_contract_doc,experimental,reader_only,local_only,beta,beta,published,no,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,optional/not_applicable,required/published,,manifest_entry:repair_and_rollback_safety,artifacts/governance/compatibility_surfaces.yaml#workspace.project_doctor_packet,
repair_transactions,Repair transactions and recovery ledger,aureline-support,support_and_export,json_schema_backed_contract_doc,experimental,read_write,local_only,beta,beta,published,no,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,optional/not_applicable,required/published,,manifest_entry:repair_and_rollback_safety,artifacts/governance/compatibility_surfaces.yaml#support.repair_transaction_and_recovery_ledger,
support_bundles_and_handoff,Evidence/support bundles and object-handoff packets,aureline-support,support_and_export,json_schema_backed_contract_doc,experimental,reader_only,mirrored,stable,stable,published,yes,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,required/published,required/published,,manifest_entry:export_and_offboarding_support,artifacts/governance/compatibility_surfaces.yaml#support.bundle_and_evidence_packets,
appearance_sessions_and_theme_assets,"Appearance sessions, theme assets, and design-token packages",aureline-design,design_and_theme,asset_package_manifest,experimental,bidirectional_interchange,mirrored,beta,beta,published,no,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,optional/not_applicable,required/published,,manifest_entry:localization_readiness,artifacts/governance/compatibility_surfaces.yaml#design.appearance_session_theme_package_and_token_overlay,
teaching_tour_and_learning_packets,Tour/teaching contracts and learning evidence packets,aureline-learning,docs_and_teaching,teaching_content_pack,internal,reader_only,mirrored,beta,beta,published,no,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,optional/not_applicable,required/published,,manifest_entry:localization_readiness,artifacts/governance/compatibility_surfaces.yaml#docs.tour_glossary_and_teaching_session,
policy_bundles,"Policy bundles, caches, and permission prompt events",aureline-governance,governance_and_policy,json_schema_backed_contract_doc,experimental,reader_only,managed,beta,beta,published,no,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,optional/not_applicable,required/published,,manifest_entry:regulated_environment_assurance,artifacts/governance/compatibility_surfaces.yaml#governance.canonical_decision_register,compat_row:governance.canonical_decision_register
capability_records,Capability inventory entries and lifecycle vocabulary,aureline-governance,governance_and_policy,record_registry,beta,reader_only,local_only,stable,stable,published,yes,required/published,optional/not_applicable,optional/not_applicable,required/published,required/published,required/published,required/published,,manifest_entry:regulated_environment_assurance,artifacts/governance/compatibility_surfaces.yaml#governance.canonical_decision_register,compat_row:governance.canonical_decision_register
