object_family,qualification,owner,primary_status_surface,status_code_export_field,last_failure_reason_field,recovery_affordance,admitted_states,consumer_surfaces
workspace,stable,Shell/workspace owner,status_bar_indicator,workspace_status_code,workspace_last_failure_reason,restore_action,ready|warming|partial|stale|rebuilding|restricted|reconnecting|degraded|read_only_degraded|unavailable,product_ui|cli|docs_help|diagnostics|support_export|telemetry|claim_tooling
extension,stable,Extensions owner,object_header_badge,extension_status_code,extension_last_failure_reason,reinstall_action,ready|warming|restricted|policy_blocked|degraded|unavailable|deprecated|experimental|retest_pending,product_ui|cli|docs_help|diagnostics|support_export|telemetry|claim_tooling
remote_session,stable,Remote owner,remote_presence_indicator,remote_session_status_code,remote_session_last_failure_reason,reconnect_action,ready|warming|reconnecting|degraded|read_only_degraded|restricted|unavailable,product_ui|cli|docs_help|diagnostics|support_export|telemetry|claim_tooling
collaboration_session,beta,Collaboration owner,collaboration_presence_badge,collaboration_session_status_code,collaboration_session_last_failure_reason,reconnect_action,ready|warming|reconnecting|partial|degraded|restricted|unavailable,product_ui|cli|docs_help|diagnostics|support_export|telemetry
ai_action,beta,AI owner,inline_action_status,ai_action_status_code,ai_action_last_failure_reason,retry_action,ready|warming|partial|restricted|policy_blocked|degraded|unavailable|retest_pending|experimental,product_ui|cli|docs_help|diagnostics|support_export|telemetry
update_rollback,stable,Update owner,update_center_row,update_rollback_status_code,update_rollback_last_failure_reason,rollback_action,ready|warming|rebuilding|rollback_available|degraded|unavailable|deprecated,product_ui|cli|docs_help|diagnostics|support_export|telemetry|claim_tooling|release_notes
notebook_runtime,stable,Notebook owner,panel_header_status,notebook_runtime_status_code,notebook_runtime_last_failure_reason,rebuild_action,ready|warming|partial|rebuilding|degraded|read_only_degraded|unavailable|retest_pending,product_ui|cli|docs_help|diagnostics|support_export|telemetry|claim_tooling
request_api_run,stable,API client owner,inline_action_status,request_api_run_status_code,request_api_run_last_failure_reason,retry_action,ready|warming|partial|restricted|policy_blocked|degraded|unavailable,product_ui|cli|docs_help|diagnostics|support_export|telemetry|claim_tooling
preview_session,beta,Preview owner,panel_header_status,preview_session_status_code,preview_session_last_failure_reason,rebuild_action,ready|warming|rebuilding|partial|degraded|unavailable|experimental,product_ui|cli|docs_help|diagnostics|support_export|telemetry
pipeline_run,beta,Pipeline owner,activity_center_row,pipeline_run_status_code,pipeline_run_last_failure_reason,retry_action,ready|warming|partial|rebuilding|degraded|unavailable|retest_pending,product_ui|cli|docs_help|diagnostics|support_export|telemetry
data_session,stable,Data owner,panel_header_status,data_session_status_code,data_session_last_failure_reason,reconnect_action,ready|warming|reconnecting|partial|stale|degraded|read_only_degraded|restricted|unavailable,product_ui|cli|docs_help|diagnostics|support_export|telemetry|claim_tooling
profiler_capture,preview,Profiler owner,activity_center_row,profiler_capture_status_code,profiler_capture_last_failure_reason,retest_action,ready|warming|partial|degraded|unavailable|experimental|retest_pending,product_ui|cli|docs_help|diagnostics|support_export|telemetry
companion_session,experimental,Companion owner,collaboration_presence_badge,companion_session_status_code,companion_session_last_failure_reason,reconnect_action,ready|warming|reconnecting|restricted|degraded|unavailable|experimental,product_ui|cli|docs_help|diagnostics|support_export|telemetry
